year,openalex_id,title,source,cited_by_count,note,decision
1851,https://openalex.org/W2281898397,[Letter from L. Lea] Acknowledging receipt of abstract of dispositon of Choctaw scrip received from S. M. Rutherford,ThinkTech (Texas Tech University),0,no clear link to neural-network prehistory in title/source,ignore
1851,https://openalex.org/W4293277813,"The Dynamics of the Circulation, Determined Experimentally.",PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1852,https://openalex.org/W4247588585,"Caloric, or Latent Heat",Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1852,https://openalex.org/W4235276318,Guthrie's Water Indicator for Boilers,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1854,https://openalex.org/W2794525120,Mémoire sur les facteurs irréductibles de l’expression $x^n - 1$.,French digital mathematics library (Numdam),3,no clear link to neural-network prehistory in title/source,ignore
1854,https://openalex.org/W4251467429,Identity of dynamic or voltaic electricity with static or frictional electricity,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1854,https://openalex.org/W4251721510,Improved Gold Amalgamator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1854,https://openalex.org/W4213087175,Improved Miter Box,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1856,https://openalex.org/W1996097720,Sul teorema fondamentale dell’induzione elettrostatiga,Il Nuovo Cimento,0,no clear link to neural-network prehistory in title/source,ignore
1857,https://openalex.org/W3025186590,On the Compensatory Relations between the Faculties of Order and Memory.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1858,https://openalex.org/W4247192737,Improvement in Electrotyping,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1859,https://openalex.org/W4240789535,Action of Waves,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1859,https://openalex.org/W4293261099,Irregularity.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1860,https://openalex.org/W2032152368,Applicazione del discriminante nullo alla risoluzione di alcuni problemi,Annali di Matematica Pura ed Applicata (1923 -),2,no clear link to neural-network prehistory in title/source,ignore
1860,https://openalex.org/W1498625575,IV. Extracts from notes on electrical conductivity,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,1,no clear link to neural-network prehistory in title/source,ignore
1860,https://openalex.org/W4247143307,Latent Heat,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1861,https://openalex.org/W3025394852,On the Structure of the Inductive Syllogism and Its Correlation to the Deductive.,PubMed,0,plausible statistical or probabilistic method prehistory,keep
1862,https://openalex.org/W4214575728,On electrical quantities and resistance,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1862,https://openalex.org/W2025185712,Sulle induzioni elettro-dinamiche,Il Nuovo Cimento,0,no clear link to neural-network prehistory in title/source,ignore
1864,https://openalex.org/W4244208038,What became of voltaire's remains?,Notes and Queries,0,no clear link to neural-network prehistory in title/source,ignore
1865,https://openalex.org/W184167255,VI. Supplement to a paper on stream-lines,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,21,no clear link to neural-network prehistory in title/source,ignore
1866,https://openalex.org/W3025729646,On Linear Extraction.,PubMed,1,no clear link to neural-network prehistory in title/source,ignore
1866,https://openalex.org/W2022911419,10. New An??esthetic Mixture,The American Journal of the Medical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1866,https://openalex.org/W2964415841,Lecture on Linear Extraction.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1866,https://openalex.org/W4293303964,Spectral Analysis.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1867,https://openalex.org/W4240076747,A new form of the Holtz machine,Journal of the Franklin Institute,0,"plausible logic, computation, circuit, or network prehistory",keep
1867,https://openalex.org/W4293307775,Linear Extraction.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1867,https://openalex.org/W4293260009,On the Influence of Extreme Cold on Nervous Functions.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1868,https://openalex.org/W2792269998,"XXXIX. On “Inductive circuits,” or the application of Ohm's law to problems of electrostatics",The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,1,"plausible logic, computation, circuit, or network prehistory",keep
1868,https://openalex.org/W198463828,XL. On a new form of voltameter and voltastat,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1869,https://openalex.org/W2075057796,Formation of an artificial spectrum with a fraunhofer line,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1870,https://openalex.org/W2321118800,Differential Indications for the Use of Localized and General Electrization,New England Journal of Medicine,0,no clear link to neural-network prehistory in title/source,ignore
1870,https://openalex.org/W2319965221,On a simple method of measuring electrical conductivities by means of two equal and opposed magneto-electric currents or waves,American Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1870,https://openalex.org/W3043393364,On the Theory of Resonance. [Abstract],Proceedings of the Royal Society of London Series I,0,no clear link to neural-network prehistory in title/source,ignore
1870,https://openalex.org/W4310962983,Sharp-Pointed Memories.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1870,https://openalex.org/W4293260428,Spectral Analysis.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1871,https://openalex.org/W3120312104,On Specific Heat,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1871,https://openalex.org/W3120618407,Latent Heat of Liquids,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1872,https://openalex.org/W2319627600,On the Allegheny system of electric time signals,American Journal of Science,3,"plausible information, communication, or signalling prehistory",keep
1872,https://openalex.org/W2016347511,An Experiment to Illustrate the Induction on Itself of an Electric Current,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1872,https://openalex.org/W4241465430,On Measuring Temperatures by Electricity*,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1872,https://openalex.org/W4293275088,Operation Statistics.,PubMed,0,plausible statistical or probabilistic method prehistory,keep
1873,https://openalex.org/W2964212213,On an Apparatus for Maintaining Artificial Respiration in Physiological Experiments.,PubMed,1,"plausible logic, computation, circuit, or network prehistory",keep
1873,https://openalex.org/W3044115175,Frankenstein Trestle work. (D) P. & O.R.R.,New York Public Library eBooks,0,no clear link to neural-network prehistory in title/source,ignore
1873,https://openalex.org/W4293022287,Irregularity.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1873,https://openalex.org/W4239178470,Latent Heat,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1873,https://openalex.org/W3171307324,Mikrometrisk Bestaemning af 104 Stjernor inom Telescopiska Stjerngruppen 20 Vulpeculae.,,0,no clear link to neural-network prehistory in title/source,ignore
1874,https://openalex.org/W1996684865,On a Proposed Statistical Scale,Nature,19,plausible statistical or probabilistic method prehistory,keep
1874,https://openalex.org/W4251852022,IV. On electrotorsion,Proceedings of the Royal Society of London,1,no clear link to neural-network prehistory in title/source,ignore
1874,https://openalex.org/W3150229678,Convection applied to the detection of heat.—II,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1874,https://openalex.org/W4206492516,XVI. On electrotorsion,Philosophical Transactions of the Royal Society of London,0,no clear link to neural-network prehistory in title/source,ignore
1875,https://openalex.org/W1987066515,On a New Form of Artificial Membrana Tympani,BMJ,0,no clear link to neural-network prehistory in title/source,ignore
1875,https://openalex.org/W1982017848,"On an improved form of aneroid for determining heights, with a means of adjusting the atitude scale for various temperatures",Quarterly Journal of the Royal Meteorological Society,0,no clear link to neural-network prehistory in title/source,ignore
1875,https://openalex.org/W4301463560,Query.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1875,https://openalex.org/W4299372455,Query.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1875,https://openalex.org/W4244918209,Reverie and abstraction:--Electro-biology.,,0,no clear link to neural-network prehistory in title/source,ignore
1876,https://openalex.org/W3120629312,New Theory of Latent Heat,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1876,https://openalex.org/W3120469942,Novel Speed-Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1876,https://openalex.org/W2496681619,On a certain kind of series as the foundation of probability.,Macmillan and Co eBooks,0,plausible statistical or probabilistic method prehistory,keep
1876,https://openalex.org/W2490965627,On the causal process by which the series of probability are brought about.,Macmillan and Co eBooks,0,plausible statistical or probabilistic method prehistory,keep
1876,https://openalex.org/W2104397171,The Bakerian lecture.— On the forms of equipotential curves and surfaces and on lines of flow,Proceedings of the Royal Society of London,0,no clear link to neural-network prehistory in title/source,ignore
1876,https://openalex.org/W2081627473,The theory of the “Holtz” electrical machine,Journal of the Franklin Institute,0,"plausible logic, computation, circuit, or network prehistory",keep
1877,https://openalex.org/W4239647711,Electric conductivity of trees,Journal of the Franklin Institute,0,"plausible logic, computation, circuit, or network prehistory",keep
1877,https://openalex.org/W4252316310,Electric Signal for Divers,Scientific American,0,"plausible information, communication, or signalling prehistory",keep
1877,https://openalex.org/W2019287272,The graphical method versus that by least squares,Journal of the Franklin Institute,0,"plausible logic, computation, circuit, or network prehistory",keep
1877,https://openalex.org/W4239228726,Transparent gold,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W2057318293,"II. Experimental results relating to the rhythmical and excitatory motions of the ventricle of the heart of the frog, and of the electrical phenomena which accompany them",Proceedings of the Royal Society of London,15,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W2331245256,Note on the Theory of Electric Absorption,American Journal of Mathematics,2,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W2247777006,On Some Improvements in Instruments and Appliances for Diagnosis.,PubMed,1,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W4243505016,Electric conductivity in constant streams,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W2118351508,Experiments on electrical resistance,Journal of the Society of Telegraph Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W4230935029,Improved Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W4317682820,Intelligent and Efficient Quarantine.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W4300343693,Metric System.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W4317690037,Metric System.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1878,https://openalex.org/W2951427668,Some Tables for the Interconversion of Metric and English Units,Biodiversity Heritage Library (Smithsonian Institution),0,no clear link to neural-network prehistory in title/source,ignore
1879,https://openalex.org/W4242979036,Influence of Pressure on Spectra,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1879,https://openalex.org/W4300102222,Metric System.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1879,https://openalex.org/W4237977246,Self-Regulating Filter,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1880,https://openalex.org/W2164653234,On Multiple Spectra,Science,3,no clear link to neural-network prehistory in title/source,ignore
1880,https://openalex.org/W4234993723,Electric synchronism of motors and receivers,Journal of the Franklin Institute,1,"plausible nervous-system, psychology, or learning prehistory",keep
1880,https://openalex.org/W2178596664,On the theory of induction-currents,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1880,https://openalex.org/W4244854127,Prof. Jaeger's Neural Analysis,Scientific American,0,"plausible nervous-system, psychology, or learning prehistory",keep
1881,https://openalex.org/W3146233023,On the Analytical Forms Called Trees,American Journal of Mathematics,100,"plausible logic, computation, circuit, or network prehistory",keep
1881,https://openalex.org/W4231251898,Photo-Micrography,Science,1,"plausible logic, computation, circuit, or network prehistory",keep
1881,https://openalex.org/W2116646053,A REMARKABLE INSTANCE OF RETENTION OF HEAT BY THE EARTH,Science,0,no clear link to neural-network prehistory in title/source,ignore
1881,https://openalex.org/W4240387716,Esher,Notes and Queries,0,no clear link to neural-network prehistory in title/source,ignore
1881,https://openalex.org/W46167153,Modification of Snellen's Forceps for Entropion Operations.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1881,https://openalex.org/W4230453349,On a Thermo-Magnetic Thermoscope,Science,0,no clear link to neural-network prehistory in title/source,ignore
1882,https://openalex.org/W4243600105,Improved T-Square,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1882,https://openalex.org/W4368355908,Neural Analysis: By the Electro-Magnetic Method.,PubMed,1,"plausible nervous-system, psychology, or learning prehistory",keep
1882,https://openalex.org/W4311018460,A Machine That Measures Thought.,PubMed,0,"plausible logic, computation, circuit, or network prehistory",keep
1882,https://openalex.org/W4242905361,Improved Automatic Gate,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1882,https://openalex.org/W4386154048,Tests of Sight for Signallers and Lookout Men.,PubMed,0,"plausible information, communication, or signalling prehistory",keep
1882,https://openalex.org/W4230647875,Voltaic Accumulation,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W2043420030,Sui sistemi di funzioni analitiche e le serie formate coi medesimi,Annali di Matematica Pura ed Applicata (1923 -),7,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W2032102729,Expériences de projection avec le courant voltaïque,Journal de Physique Théorique et Appliquée,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W4214564886,FUNCTIONAL INDEPENDENCE OF EACH HEMISPHERE,The Journal of Nervous and Mental Disease,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W4243682283,Heat and magnetism,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W4205594738,Induced currents in reciprocal movements,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W4311023365,Insidious Destroyers.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1883,https://openalex.org/W4230862978,Photo-Micrography,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1884,https://openalex.org/W1965133626,The Toepler-Holtz Machine,Science,2,"plausible logic, computation, circuit, or network prehistory",keep
1884,https://openalex.org/W4392551254,A Positive Speed Indicator,Transactions of the American Society of Mechanical Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1884,https://openalex.org/W4236970488,An Improved Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1884,https://openalex.org/W4236379726,Electro-dynamics,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1884,https://openalex.org/W4247587039,Hotzʼs Operation for Entropion,The American Journal of the Medical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1884,https://openalex.org/W2331284522,On the expression of electrical resistance in terms of a velocity,American Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1884,https://openalex.org/W2990279228,Value of the BA Unit of Electrical Resistance in Absolute Measure.,,0,no clear link to neural-network prehistory in title/source,ignore
1885,https://openalex.org/W2002799828,Recent Advances in Electrical Science,Science,5,no clear link to neural-network prehistory in title/source,ignore
1885,https://openalex.org/W2063108923,"Some remarks on the volta force and seat of electro-motive forces questions, and on impressed force and potential in condenser circuits",Journal of the Society of Telegraph-Engineers and Electricians,3,"plausible logic, computation, circuit, or network prehistory",keep
1885,https://openalex.org/W1963634292,"Electrical definitions, nomenclature, and notation",Journal of the Society of Telegraph-Engineers and Electricians,0,no clear link to neural-network prehistory in title/source,ignore
1885,https://openalex.org/W4255928303,Improved Miter Box,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1885,https://openalex.org/W4232257886,Improved Sample Box,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1885,https://openalex.org/W4242807392,Magneto-Electric Crossing Signal,Scientific American,0,"plausible information, communication, or signalling prehistory",keep
1886,https://openalex.org/W3120413031,An Apparatus for Reproducing at Pleasure an Invariable Quantity of Electricity,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1886,https://openalex.org/W4234981965,Centrifugal Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1886,https://openalex.org/W1978499939,Method of Stating Results of Water-Analyses,Science,0,no clear link to neural-network prehistory in title/source,ignore
1886,https://openalex.org/W4200256042,The Edelmann Voltameters and Amperemeters,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1887,https://openalex.org/W4229873730,An Improved Vermin Exterminator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1887,https://openalex.org/W3014884130,Break-circuit chronometers,Observatory,0,"plausible logic, computation, circuit, or network prehistory",keep
1887,https://openalex.org/W3005980027,Break-circuit chronometers,Observatory,0,"plausible logic, computation, circuit, or network prehistory",keep
1887,https://openalex.org/W3216520520,Division i decimalbråk,Gothenburg University Publications Electronic Archive (Gothenburg University),0,no clear link to neural-network prehistory in title/source,ignore
1887,https://openalex.org/W4238787753,The Secohmmeter,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1888,https://openalex.org/W4241302474,The Menges Thermo-Magnetic Generator and Motor,Scientific American,1,"plausible nervous-system, psychology, or learning prehistory",keep
1888,https://openalex.org/W4392266551,An Electric Speed Recorder,Transactions of the American Society of Mechanical Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1888,https://openalex.org/W4245426725,An Improved Block Signal,Scientific American,0,"plausible information, communication, or signalling prehistory",keep
1888,https://openalex.org/W4234999703,An Improved Electrical Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1888,https://openalex.org/W4246081463,An Improved Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1888,https://openalex.org/W3040886093,Grünwald's Theory of Spectrum Analysis,Science,0,no clear link to neural-network prehistory in title/source,ignore
1888,https://openalex.org/W4300103789,Query.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1889,https://openalex.org/W2034652143,On an electrochemical actinometer,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,3,unrelated medicine/natural science/engineering,ignore
1889,https://openalex.org/W4237672485,An Improved Siphon,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1889,https://openalex.org/W4210434512,Mechanical Statistical Devices,Publications of the American Statistical Association,0,plausible statistical or probabilistic method prehistory,keep
1889,https://openalex.org/W4376474786,Mechanical Statistical Devices,Publications of the American Statistical Association,0,plausible statistical or probabilistic method prehistory,keep
1889,https://openalex.org/W3119476701,Review of Theories of Electrical Action,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1889,https://openalex.org/W2094212390,Review of theories of electrical action,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1889,https://openalex.org/W2799551865,Telephonic Specific Inductive Capacity,Proceedings of the American Academy of Arts and Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1889,https://openalex.org/W1993287074,X.—On Scolopax rosenbergi and S. saturata,Ibis,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W4250281364,ROYAL STATISTICAL SOCIETY.,The Lancet,21,plausible statistical or probabilistic method prehistory,keep
1890,https://openalex.org/W3180055928,Oznaczenie lokalizacyi w mózgu i rdzeniu za pomocą zjawisk elektrycznych,,3,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W2026534934,A Review of Modern Electrical Theories,Transactions of the American Institute of Electrical Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W3119895878,"An Experimental Proof of Ohm's Law, Preceded by a Short Account of the Discovery and Subsequent Verification of the Law",Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W4233661490,Grangerizing,Notes and Queries,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W4254240640,Grangerizing,Notes and Queries,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W4247976810,Photo-Micrography,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1890,https://openalex.org/W3209897228,Some Notes on Spectra Analysis.,,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W3119733771,Telephonic Specific Inductive Capacity,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1890,https://openalex.org/W2469629370,The Electrotonic Variation with Strong Polarising Currents,Proceedings of the Royal Society of Edinburgh,0,no clear link to neural-network prehistory in title/source,ignore
1891,https://openalex.org/W1978059156,I. On the sensitiveness of the bridge method in its application to periodic electric currents,Proceedings of the Royal Society of London,9,no clear link to neural-network prehistory in title/source,ignore
1892,https://openalex.org/W4231207094,An Improved Carpenter's Square,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1892,https://openalex.org/W4231134563,An Improved Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1892,https://openalex.org/W4251595441,Book Review: Elementary Lessons in Heat.,Journal of Education,0,no clear link to neural-network prehistory in title/source,ignore
1892,https://openalex.org/W4368357005,Neural Analysis.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1892,https://openalex.org/W1992959669,Selective or Individual Signals,Transactions of the American Institute of Electrical Engineers,0,"plausible information, communication, or signalling prehistory",keep
1893,https://openalex.org/W2313272748,Experiments upon Physiological Memory by Means of the Interference of Associations,The American Journal of Psychology,25,"plausible nervous-system, psychology, or learning prehistory",keep
1893,https://openalex.org/W2079050446,THE RELATION OF THE NERVOUS SYSTEM TO HEAT PRODUCTION,The Journal of Nervous and Mental Disease,2,"plausible nervous-system, psychology, or learning prehistory",keep
1893,https://openalex.org/W4252290893,Latent Heat,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1893,https://openalex.org/W4392072334,Negative Specific Heat,Transactions of the American Society of Mechanical Engineers,1,no clear link to neural-network prehistory in title/source,ignore
1893,https://openalex.org/W4238702952,An Automatic Gate Operating Device,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1893,https://openalex.org/W4240108148,An Electrically Regulated Time System,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1893,https://openalex.org/W4241259970,An Improved Carpenter's Square,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1893,https://openalex.org/W2074369883,Experiments on Physiological Memory by Means of the Interference of Associations,The Journal of Nervous and Mental Disease,0,"plausible nervous-system, psychology, or learning prehistory",keep
1893,https://openalex.org/W4248419262,Interference of Electrical Waves,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1894,https://openalex.org/W1976600441,A new Electrical Theorem,Proceedings of the Physical Society of London,15,no clear link to neural-network prehistory in title/source,ignore
1894,https://openalex.org/W2050344466,A Study of the Polarization upon a Thin Metal Partition in a Voltameter. I,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1894,https://openalex.org/W4236256261,A Study of the Polarization Upon a Thin Metal Partition in a Voltameter. II,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1894,https://openalex.org/W4233588801,An Efficient Calculating Machine,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1894,https://openalex.org/W2070282053,On Electric Strength,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1894,https://openalex.org/W4240500026,Speed of Propagation of an Electrical Disturbance,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1895,https://openalex.org/W2065121259,On the Broadening of Spectral Lines,The Astrophysical Journal,59,unrelated medicine/natural science/engineering,ignore
1895,https://openalex.org/W2332227999,On the Least Observable Interval between Stimuli Addressed to Disparate Senses and to Different Organs of the Same Sense,The American Journal of Psychology,32,"plausible nervous-system, psychology, or learning prehistory",keep
1895,https://openalex.org/W4249431533,Electrical Items Worth Repeating,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1895,https://openalex.org/W2076864256,The Theory of Neurons and Their Connection Simply by Contact,The Journal of Nervous and Mental Disease,0,"plausible nervous-system, psychology, or learning prehistory",keep
1896,https://openalex.org/W4235194223,An Improved Sorting Machine,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1896,https://openalex.org/W4241011997,CORTICAL REPRESENTATION OF THE MOVEMENTS OF THE VOCAL CORDS.,The Lancet,0,"plausible nervous-system, psychology, or learning prehistory",keep
1896,https://openalex.org/W2305791045,M. Klippel Les neurones. Les lois fondamentales de leurs dégénérescences,Persée (Ministère de lEnseignement supérieur et de la Recherche),0,"plausible nervous-system, psychology, or learning prehistory",keep
1896,https://openalex.org/W4230540598,Some Neural and Descriptive Terms,Science,0,"plausible nervous-system, psychology, or learning prehistory",keep
1896,https://openalex.org/W4247530290,Whittier Memory Gems.,Journal of Education,0,"plausible nervous-system, psychology, or learning prehistory",keep
1897,https://openalex.org/W1998724193,Un Hybride Artificiel DesLychnis DiurnaEtVespertina(2° Note),Bulletin de la Société Botanique de France,2,no clear link to neural-network prehistory in title/source,ignore
1897,https://openalex.org/W4255980455,A Device for Extracting the Square Root of Certain Surd Quantities,American Mathematical Monthly,0,no clear link to neural-network prehistory in title/source,ignore
1897,https://openalex.org/W4254953736,An Improved Speed Indicator,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1897,https://openalex.org/W1971519254,Résistance électrique et coefficient de self-induction,Journal de Physique Théorique et Appliquée,0,no clear link to neural-network prehistory in title/source,ignore
1898,https://openalex.org/W2087925835,An experimental research upon cerebro-cortical afferent and efferent tracts,Proceedings of the Royal Society of London,12,"plausible nervous-system, psychology, or learning prehistory",keep
1898,https://openalex.org/W4233520256,Sui fenomeni termici nei circuiti di scarica dei condensatoriMemoria del Prof. P. CARDANI,Il Nuovo Cimento,3,"plausible logic, computation, circuit, or network prehistory",keep
1898,https://openalex.org/W4247061286,Sui fenomeni termici nei circuiti di scarica dei condensatoriMemoria de Prof. P. Cardani,Il Nuovo Cimento,1,"plausible logic, computation, circuit, or network prehistory",keep
